date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
2015-12-04 12:15:00,1449231300000,0.0890249,0.271863,0.167292
2015-12-04 12:30:00,1449232200000,0.0866191,0.399368,0.164085
2015-12-04 12:45:00,1449233100000,0.0914306,0.399368,0.185416
2015-12-04 13:00:00,1449234000000,0.0962422,0.396962,0.193863
2015-12-04 13:15:00,1449234900000,0.0842133,0.394556,0.216904
2015-12-04 13:30:00,1449235800000,0.0818076,0.423425,0.257856
2015-12-04 13:45:00,1449236700000,0.0866191,0.408991,0.29421
2015-12-04 14:15:00,1449238500000,0.110677,0.55093,0.283892
2015-12-04 14:30:00,1449239400000,0.168415,0.370499,0.236632
2015-12-04 14:45:00,1449240300000,0.134734,0.348847,0.198621
2015-12-04 15:15:00,1449242100000,0.0842133,0.185255,0.121476
2015-12-04 15:30:00,1449243000000,0.0649672,0.327195,0.109287
2015-12-04 15:45:00,1449243900000,0.0433152,0.26224,0.0858171
2015-12-04 16:00:00,1449244800000,0.0312864,0.146763,0.0666245
2015-12-04 16:15:00,1449245700000,0.0264748,0.110677,0.0550233
2015-12-04 16:30:00,1449246600000,0.0288806,0.103459,0.0525106
2015-12-04 16:45:00,1449247500000,0.0312864,0.134734,0.0598883
2015-12-04 17:00:00,1449248400000,0.0336921,0.139546,0.0624545
2015-12-04 17:15:00,1449249300000,0.0360979,0.170821,0.0727725
2015-12-04 17:30:00,1449250200000,0.0336921,0.170821,0.0948521
2015-12-04 17:45:00,1449251100000,0.0625614,0.168415,0.113029
2015-12-04 18:00:00,1449252000000,0.0625614,0.166009,0.122278
2015-12-04 18:15:00,1449252900000,0.0745903,0.21653,0.129976
2015-12-04 18:30:00,1449253800000,0.0866191,0.187661,0.129388
2015-12-04 18:45:00,1449254700000,0.0938364,0.168415,0.133291
2015-12-04 19:00:00,1449255600000,0.0938364,0.298326,0.15259
2015-12-04 19:15:00,1449256500000,0.115488,0.271863,0.153392
2015-12-04 19:30:00,1449257400000,0.129923,0.19969,0.15783
2015-12-04 19:45:00,1449258300000,0.108271,0.567771,0.195306
2015-12-04 20:00:00,1449259200000,0.115488,0.481164,0.216637
2015-12-04 20:15:00,1449260100000,0.129923,0.567771,0.218348
2015-12-04 20:30:00,1449261000000,0.076996,1.40738,0.27801
2015-12-04 20:45:00,1449261900000,0.00241698,0.627914,0.159721
2015-12-04 21:15:00,1449263700000,0.00241698,0.252617,0.117947
2015-12-04 21:30:00,1449264600000,0.0216633,0.230965,0.128693
2015-12-04 21:45:00,1449265500000,0.0216633,0.233371,0.142754
2015-12-04 22:00:00,1449266400000,0.0409095,0.230965,0.154194
2015-12-04 22:15:00,1449267300000,0.00963435,0.791505,0.196215
2015-12-04 22:30:00,1449268200000,0.0433152,0.459512,0.185416
2015-12-04 22:45:00,1449269100000,0.0409095,0.560553,0.196482
2015-12-04 23:00:00,1449270000000,0.0794018,0.469135,0.19012
2015-12-04 23:15:00,1449270900000,0.0697787,0.502815,0.189746
2015-12-04 23:30:00,1449271800000,0.0553441,0.750608,0.204074
2015-12-05 00:15:00,1449274500000,0.0697787,0.786694,0.211398
2015-12-05 00:30:00,1449275400000,0.134734,0.353658,0.184133
2015-12-05 00:45:00,1449276300000,0.0697787,0.716927,0.207549
2015-12-05 01:00:00,1449277200000,0.105865,0.493192,0.191831
2015-12-05 01:15:00,1449278100000,0.103459,0.413802,0.18579
2015-12-05 01:30:00,1449279000000,0.0986479,0.476352,0.193595
2015-12-05 01:45:00,1449279900000,0.103459,0.524467,0.19552
2015-12-05 02:00:00,1449280800000,0.110677,0.457106,0.193168
2015-12-05 02:15:00,1449281700000,0.113083,0.452294,0.195253
2015-12-05 02:30:00,1449282600000,0.127517,0.466729,0.196268
2015-12-05 02:45:00,1449283500000,0.132329,0.406585,0.193221
2015-12-05 03:00:00,1449284400000,0.132329,0.411397,0.193488
2015-12-05 03:15:00,1449285300000,0.1203,0.42102,0.193061
2015-12-05 03:30:00,1449286200000,0.127517,0.42102,0.191403
2015-12-05 03:45:00,1449287100000,0.127517,0.372905,0.187394
2015-12-05 04:00:00,1449288000000,0.125111,0.536496,0.19691
2015-12-05 04:15:00,1449288900000,0.134734,0.305543,0.184721
2015-12-05 04:30:00,1449289800000,0.108271,0.435454,0.191403
2015-12-05 04:45:00,1449290700000,0.134734,0.353658,0.188303
