date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
22/08/2015 02:15,1.44021E+12,0.178038,0.218936,0.194878
22/08/2015 02:30,1.44021E+12,0.18285,0.218936,0.199089
22/08/2015 02:45,1.44021E+12,0.187661,0.288703,0.220259
22/08/2015 03:00,1.44021E+12,0.202096,0.411397,0.258751
22/08/2015 03:15,1.44021E+12,0.206907,0.473946,0.289425
22/08/2015 03:30,1.44021E+12,0.209313,0.483569,0.315287
22/08/2015 03:45,1.44022E+12,0.214125,0.469135,0.329721
22/08/2015 04:00,1.44022E+12,0.235776,0.505221,0.348005
22/08/2015 04:15,1.44022E+12,0.242994,0.514844,0.35426
22/08/2015 04:30,1.44022E+12,0.255022,0.587017,0.367131
22/08/2015 04:45,1.44022E+12,0.259834,0.589422,0.368935
22/08/2015 05:00,1.44022E+12,0.269457,0.514844,0.357628
22/08/2015 05:15,1.44022E+12,0.27908,0.526873,0.362079
22/08/2015 05:30,1.44022E+12,0.283892,0.490787,0.368213
22/08/2015 05:45,1.44022E+12,0.303138,0.526873,0.37519
22/08/2015 06:00,1.44022E+12,0.319978,0.490787,0.378318
22/08/2015 06:15,1.44022E+12,0.339224,0.42102,0.382287
22/08/2015 06:30,1.44023E+12,0.363282,0.433048,0.392872
22/08/2015 06:45,1.44023E+12,0.351253,0.430643,0.398766
22/08/2015 07:00,1.44023E+12,0.368093,0.447483,0.397804
22/08/2015 07:15,1.44023E+12,0.365687,0.464323,0.402856
22/08/2015 07:30,1.44023E+12,0.353658,0.466729,0.401292
22/08/2015 07:45,1.44023E+12,0.356064,0.490787,0.406345
22/08/2015 08:00,1.44023E+12,0.353658,0.514844,0.414885
22/08/2015 08:15,1.44023E+12,0.353658,0.524467,0.424628
22/08/2015 08:30,1.44023E+12,0.35847,0.531684,0.427876
22/08/2015 08:45,1.44023E+12,0.356064,0.546119,0.434131
22/08/2015 09:00,1.44023E+12,0.346441,0.558148,0.433169
22/08/2015 09:15,1.44023E+12,0.365687,0.565365,0.439905
22/08/2015 09:30,1.44024E+12,0.353658,0.572582,0.446641
22/08/2015 09:45,1.44024E+12,0.37531,0.582205,0.462399
22/08/2015 10:00,1.44024E+12,0.399368,0.584611,0.470578
